α,β,Utility,Fairness,Worst-Grp
0.0,0.0,0.4317,0.9275,0.2839
0.0,0.25,0.4142,0.9222,0.2702
0.0,0.5,0.4254,0.9285,0.2813
0.0,0.75,0.4301,0.9240,0.2760
0.0,1.0,0.4306,0.9348,0.2907
0.25,0.0,0.4256,0.9201,0.2769
0.25,0.25,0.4208,0.9182,0.2676
0.25,0.5,0.4243,0.9205,0.2702
0.25,0.75,0.4158,0.9253,0.2762
0.25,1.0,0.4218,0.9201,0.2688
0.5,0.0,0.4026,0.9158,0.2500
0.5,0.25,0.4155,0.9134,0.2594
0.5,0.5,0.4070,0.9228,0.2644
0.5,0.75,0.4215,0.9276,0.2792
0.5,1.0,0.4062,0.9217,0.2629
0.75,0.0,0.4167,0.9174,0.2630
0.75,0.25,0.4138,0.9176,0.2610
0.75,0.5,0.4404,0.9171,0.2781
0.75,0.75,0.4131,0.9250,0.2715
0.75,1.0,0.4230,0.9160,0.2668
1.0,0.0,0.4230,0.9230,0.2700
1.0,0.25,0.4792,0.9390,0.3344
1.0,0.5,0.4510,0.9268,0.2957
1.0,0.75,0.4553,0.9282,0.3078
1.0,1.0,0.4615,0.9350,0.3160
