adversary_type,corruption_rate,corruption_level,metric,best_aggregator,value,runner_up,margin
coordinated,0.0,low,welfare,oracle,0.46875114436778376,self_consistency,0.013630607548913543
coordinated,0.25,low,welfare,oracle,0.469891506859424,self_consistency,0.012867831524039253
coordinated,0.5,mid,welfare,oracle,0.4669734917396534,supervisor_rerank,0.013157214269876094
coordinated,0.75,high,welfare,oracle,0.4614843480260227,supervisor_rerank,0.013907806679822443
deceptive,0.0,low,welfare,oracle,0.4586357428128364,random_dictator,0.011791531176247705
deceptive,0.25,low,welfare,oracle,0.46703285565924624,trimmed_vote,0.02025728229048962
deceptive,0.5,mid,welfare,oracle,0.46425897133411037,multiplicative_weights,0.018852486105545296
deceptive,0.75,high,welfare,oracle,0.47131970134985757,supervisor_rerank,0.01679598160270801
scheduled,0.0,low,welfare,oracle,0.47110277955566604,ema_trust,0.012191960561899529
scheduled,0.25,low,welfare,oracle,0.4721072015191691,ema_trust,0.01762223728318374
scheduled,0.5,mid,welfare,oracle,0.4661730735221754,supervisor_rerank,0.014542504280644408
scheduled,0.75,high,welfare,oracle,0.46066672558497945,supervisor_rerank,0.020107118919539868
selfish,0.0,low,welfare,oracle,0.46639850151500245,self_consistency,0.015525140764642231
selfish,0.25,low,welfare,oracle,0.4554983930748383,trimmed_vote,0.012131277753773484
selfish,0.5,mid,welfare,oracle,0.46652962669056686,ema_trust,0.01156789088152621
selfish,0.75,high,welfare,oracle,0.4611875696412847,confidence_weighted,0.009697400214929097
coordinated,0.0,low,worst_group,self_consistency,0.31533378816542706,confidence_weighted,0.0008067420002249026
coordinated,0.25,low,worst_group,trimmed_vote,0.31146431507644395,majority_vote,9.942179686400765e-05
coordinated,0.5,mid,worst_group,confidence_weighted,0.30505980560144896,trimmed_vote,0.0007933607947395727
coordinated,0.75,high,worst_group,supervisor_rerank,0.30515150437953864,oracle,0.012073323758267085
deceptive,0.0,low,worst_group,majority_vote,0.30768585509415997,confidence_weighted,4.838627752062896e-05
deceptive,0.25,low,worst_group,majority_vote,0.30063522013643124,trimmed_vote,6.997149817217219e-05
deceptive,0.5,mid,worst_group,multiplicative_weights,0.307675290608536,trimmed_vote,0.0005431288028587278
deceptive,0.75,high,worst_group,supervisor_rerank,0.31239683336963464,oracle,0.011528220109293608
scheduled,0.0,low,worst_group,ema_trust,0.306578899129127,trimmed_vote,9.060365220553424e-05
scheduled,0.25,low,worst_group,ema_trust,0.3145163576302512,confidence_weighted,0.000491789805010634
scheduled,0.5,mid,worst_group,trimmed_vote,0.3183435248741187,multiplicative_weights,0.00019183810169437487
scheduled,0.75,high,worst_group,supervisor_rerank,0.29981676219512265,oracle,0.007189434992893595
selfish,0.0,low,worst_group,self_consistency,0.3056632799823415,trimmed_vote,0.0003319691938806213
selfish,0.25,low,worst_group,confidence_weighted,0.2993987395427304,multiplicative_weights,0.0
selfish,0.5,mid,worst_group,trimmed_vote,0.30926871027694225,majority_vote,2.0471155697698862e-05
selfish,0.75,high,worst_group,trimmed_vote,0.31605512133484254,confidence_weighted,0.0009632093860432733
coordinated,0.0,low,fairness,self_consistency,0.9396357939855038,confidence_weighted,0.00024435794835619973
coordinated,0.25,low,fairness,majority_vote,0.9385577320490878,trimmed_vote,0.00022433776482766454
coordinated,0.5,mid,fairness,ema_trust,0.9341012375156504,majority_vote,0.0007452538801802078
coordinated,0.75,high,fairness,supervisor_rerank,0.9345134250594345,multiplicative_weights,0.0027313298887086113
deceptive,0.0,low,fairness,confidence_weighted,0.9368585409661264,ema_trust,0.0
deceptive,0.25,low,fairness,majority_vote,0.9338391180597163,confidence_weighted,0.00036250480641886185
deceptive,0.5,mid,fairness,trimmed_vote,0.9350833514991248,confidence_weighted,0.0001130996984294308
deceptive,0.75,high,fairness,supervisor_rerank,0.9387280806379934,multiplicative_weights,0.001465909754890915
scheduled,0.0,low,fairness,random_dictator,0.9315484624732125,trimmed_vote,0.00021192568421446456
scheduled,0.25,low,fairness,ema_trust,0.9350594659793874,confidence_weighted,0.00029659929448300204
scheduled,0.5,mid,fairness,ema_trust,0.9429744924710384,trimmed_vote,3.0620180134666164e-05
scheduled,0.75,high,fairness,supervisor_rerank,0.9336516967059904,random_dictator,0.003608129735683363
selfish,0.0,low,fairness,self_consistency,0.9329025802331588,majority_vote,7.657658004533996e-05
selfish,0.25,low,fairness,self_consistency,0.9316064739899048,confidence_weighted,1.9496275879493652e-05
selfish,0.5,mid,fairness,supervisor_rerank,0.937587679664798,trimmed_vote,0.0012963165081834038
selfish,0.75,high,fairness,trimmed_vote,0.9403864401015612,random_dictator,0.0005475498168862059
