Aggregator,GO Utility,FH Utility,Δ Utility,GO Fairness,FH Fairness,Δ Fairness,GO Worst-Grp,FH Worst-Grp,Δ Worst-Grp
confidence_weighted,0.4384,0.4390,+0.0005,0.9298,0.9303,+0.0006,0.2966,0.2977,+0.0011
ema_trust,0.4384,0.4377,-0.0007,0.9298,0.9304,+0.0007,0.2966,0.2971,+0.0005
majority_vote,0.4384,0.4369,-0.0015,0.9298,0.9302,+0.0005,0.2966,0.2965,-0.0001
multiplicative_weights,0.4384,0.4464,+0.0080,0.9298,0.9316,+0.0018,0.2966,0.3047,+0.0081
oracle,0.4656,0.4656,+0.0000,0.9194,0.9194,+0.0000,0.2984,0.2984,+0.0000
oracle_upper_bound,0.4402,0.4385,-0.0017,0.9302,0.9305,+0.0004,0.2980,0.2977,-0.0004
random_dictator,0.4383,0.4392,+0.0009,0.9294,0.9300,+0.0005,0.2960,0.2974,+0.0014
self_consistency,0.4384,0.4362,-0.0022,0.9298,0.9301,+0.0004,0.2966,0.2958,-0.0008
supervisor_rerank,0.4382,0.4494,+0.0112,0.9298,0.9314,+0.0016,0.2964,0.3062,+0.0098
trimmed_vote,0.4385,0.4379,-0.0006,0.9298,0.9305,+0.0006,0.2968,0.2974,+0.0006
